SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	METHODS	MUTATIONS	SAMPLES	%_SAMPLES_COHORT	QVALUE_COMBINATION	ROLE	CGC_GENE	CGC_CANCER_GENE	DOMAIN	2D_CLUSTERS	3D_CLUSTERS	EXCESS_MIS	EXCESS_NON	EXCESS_SPL
ABCB1	ENST00000622132	ICGC_WGS_ESAD_UK	ESCA	dndscv,cbase	16.0	14	0.09333333333333334	0.0002010297541482517	Act	False	False		915:915		0.9735745887027412	0.0	0.0
ABI1	ENST00000376142	ICGC_WGS_ESAD_UK	ESCA	smregions	3.0	2	0.013333333333333334	0.0001070213296242537	ambiguous	True	False	PF00018:452:496			0.9067395754143541	0.9778784512028142	0.0
ABL1	ENST00000372348	HARTWIG_LIVER	HC	combination	3.0	3	0.058823529411764705	0.0014716459563622881	Act	True	False				0.9204624007528319	0.0	0.0
ABL1	ENST00000372348	TCGA_WXS_UCEC	UCEC	combination	13.0	10	0.019880715705765408	0.0062051974575781784	Act	True	False				0.5655250510120016	0.7726485826546785	0.0
ABL2	ENST00000502732	ICGC_WGS_BRCA_FR	BRCA	combination	2.0	2	0.027777777777777776	0.008337593744048615	Act	True	False				0.8638325560829007	0.9862150677739725	0.0
ABL2	ENST00000502732	TCGA_WXS_BRCA	BRCA	combination	12.0	10	0.010277492291880781	0.19506954542549745	Act	True	False				0.5715911092514405	0.0	0.0
ABL2	ENST00000502732	TCGA_WXS_THCA	THCA	combination	3.0	2	0.004098360655737705	4.112968368277121e-05	Act	True	False				0.0	0.9770312279348319	0.0
ABL2	ENST00000502732	TCGA_WXS_UCEC	UCEC	smregions	11.0	11	0.02186878727634195	0.021749134730239414	Act	True	False	PF07714:288:538			0.14432541689406275	0.0	0.0
ACKR3	ENST00000272928	TCGA_WXS_OV	OV	combination	3.0	4	0.009828009828009828	0.14618815373805594	Act	True	False				0.8542645138003593	0.0	0.0
ACSL3	ENST00000357430	TCGA_WXS_LAML	AML	combination	3.0	3	0.02142857142857143	9.561379331913947e-05	Act	True	False		188:188		0.9701364568388928	0.0	0.0
